Plante,Position,NPA,time,angle
Plante 1,Courbe,Avec,0,168.527
Plante 2,Courbe,Avec,0,173.283
Plante 3,Courbe,Avec,0,177.797
Plante 4,Courbe,Avec,0,169.992
Plante 5,Courbe,Avec,0,175.236
Plante 6,Courbe,Avec,0,177.78
Plante 7,Courbe,Avec,0,180
Plante 8,Courbe,Avec,0,179.751
Plante 9,Courbe,Avec,0,177.949
Plante 10,Courbe,Avec,0,170.254
Plante 11,Debout,Avec,0,163.241
Plante 12,Debout,Avec,0,173.322
Plante 13,Debout,Avec,0,159.392
Plante 14,Debout,Avec,0,164.078
Plante 15,Debout,Avec,0,167.207
Plante 16,Debout,Avec,0,169.38
Plante 17,Debout,Avec,0,168.247
Plante 18,Debout,Avec,0,168.69
Plante 19,Debout,Avec,0,164.407
Plante 20,Debout,Avec,0,173.064
Plante 21,Courbe,Sans,0,163.36
Plante 22,Courbe,Sans,0,175.977
Plante 23,Courbe,Sans,0,178.452
Plante 24,Courbe,Sans,0,173.729
Plante 25,Courbe,Sans,0,175.197
Plante 26,Courbe,Sans,0,171.518
Plante 27,Courbe,Sans,0,171.469
Plante 28,Courbe,Sans,0,177.169
Plante 29,Courbe,Sans,0,165.324
Plante 30,Courbe,Sans,0,175.721
Plante 31,Debout,Sans,0,174.92
Plante 32,Debout,Sans,0,162.357
Plante 33,Debout,Sans,0,164.818
Plante 34,Debout,Sans,0,164.157
Plante 35,Debout,Sans,0,168.111
Plante 36,Debout,Sans,0,176.341
Plante 37,Debout,Sans,0,164.712
Plante 38,Debout,Sans,0,169.599
Plante 39,Debout,Sans,0,179.838
Plante 40,Debout,Sans,0,169.179
Plante 1,Courbe,Avec,1,155.075
Plante 2,Courbe,Avec,1,147.071
Plante 3,Courbe,Avec,1,177.056
Plante 4,Courbe,Avec,1,171.355
Plante 5,Courbe,Avec,1,177.039
Plante 6,Courbe,Avec,1,178.83
Plante 7,Courbe,Avec,1,162.388
Plante 8,Courbe,Avec,1,161.956
Plante 9,Courbe,Avec,1,156.745
Plante 10,Courbe,Avec,1,161.186
Plante 11,Debout,Avec,1,158.819
Plante 12,Debout,Avec,1,157.166
Plante 13,Debout,Avec,1,166.686
Plante 14,Debout,Avec,1,165.687
Plante 15,Debout,Avec,1,173.991
Plante 16,Debout,Avec,1,172.949
Plante 17,Debout,Avec,1,169.261
Plante 18,Debout,Avec,1,161.454
Plante 19,Debout,Avec,1,172.389
Plante 20,Debout,Avec,1,171.231
Plante 21,Courbe,Sans,1,175.865
Plante 22,Courbe,Sans,1,120.674
Plante 23,Courbe,Sans,1,137.252
Plante 24,Courbe,Sans,1,95.027
Plante 25,Courbe,Sans,1,149.233
Plante 26,Courbe,Sans,1,114.664
Plante 27,Courbe,Sans,1,133.897
Plante 28,Courbe,Sans,1,152.117
Plante 29,Courbe,Sans,1,154.189
Plante 30,Courbe,Sans,1,143.991
Plante 31,Debout,Sans,1,151.954
Plante 32,Debout,Sans,1,173.411
Plante 33,Debout,Sans,1,174.695
Plante 34,Debout,Sans,1,168.056
Plante 35,Debout,Sans,1,144.547
Plante 36,Debout,Sans,1,158.764
Plante 37,Debout,Sans,1,167.486
Plante 38,Debout,Sans,1,168.417
Plante 39,Debout,Sans,1,169.771
Plante 40,Debout,Sans,1,173.358
