plante,Genotype,traitement,stimulus,angle
1,GUS,NPA,0,109.148
2,GUS,NPA,0,-1.736
3,GUS,NPA,0,46.975
4,GUS,NPA,0,8.561
5,GUS,NPA,0,102.804
6,GUS,NPA,0,11.03
7,GUS,NPA,0,94.399
8,GUS,NPA,0,34.472
9,GUS,NPA,0,69.677
10,GUS,NPA,0,96.864
1,GUS,NPA,90,63.591
2,GUS,NPA,90,135.444
3,GUS,NPA,90,177.274
4,GUS,NPA,90,-28.334
5,GUS,NPA,90,68.51
6,GUS,NPA,90,2.951
7,GUS,NPA,90,70.431
8,GUS,NPA,90,55.84
1,GUS,Normal,0,90.616
2,GUS,Normal,0,76.399
3,GUS,Normal,0,80.272
4,GUS,Normal,0,76.884
5,GUS,Normal,0,81.469
6,GUS,Normal,0,84.063
7,GUS,Normal,0,106.101
8,GUS,Normal,0,84.144
9,GUS,Normal,0,79.38
NA,GUS,Normal,90,41.055
NA,GUS,Normal,90,13.761
NA,GUS,Normal,90,21.982
NA,GUS,Normal,90,32.33
NA,GUS,Normal,90,32.869
NA,GUS,Normal,90,39.094
NA,GUS,Normal,90,13.808
NA,GUS,Normal,90,50.599
1,PIN,Normal,0,90.395
2,PIN,Normal,0,92.064
3,PIN,Normal,0,60.255
4,PIN,Normal,0,73.301
5,PIN,Normal,0,102.995
6,PIN,Normal,0,80.395
7,PIN,Normal,0,82.583
8,PIN,Normal,0,99.846
9,PIN,Normal,0,74.37
10,PIN,Normal,0,66.038
1,PIN,Normal,90,29.055
2,PIN,Normal,90,14.893
3,PIN,Normal,90,38.86
4,PIN,Normal,90,32.905
5,PIN,Normal,90,26.017
6,PIN,Normal,90,13.062
7,PIN,Normal,90,23.908
8,PIN,Normal,90,20.243
9,PIN,Normal,90,58.173
10,PIN,Normal,90,6.897
